"Date","Windows","OS X","Linux","Unknown","Playstation","Nintendo","Other","iOS","Android","","BlackBerry OS","Chrome OS"
2009-01,95.42,3.68,0.64,0.17,0.08,0.01,0.01,0,0.01,0,0.03,0.01
2009-02,95.39,3.76,0.62,0.14,0.07,0.01,0.01,0,0.01,0,0.03,0.02
2009-03,95.22,3.87,0.65,0.16,0.08,0.01,0.01,0,0.02,0.04,0.03,0.02
2009-04,95.13,3.92,0.66,0.17,0.1,0.01,0.01,0,0.03,0.08,0.03,0.02
2009-05,95.25,3.75,0.65,0.24,0.09,0.01,0.01,0.03,0.04,0.08,0.03,0.02
2009-06,94.76,4.07,0.74,0.28,0.11,0.01,0.01,0.1,0.05,0.08,0.03,0.02
2009-07,94.83,4.12,0.76,0.13,0.14,0.02,0.01,0.14,0.07,0.1,0.03,0.03
2009-08,94.69,4.35,0.69,0.1,0.15,0.01,0.01,0.18,0.08,0.1,0,0.03
2009-09,94.61,4.44,0.7,0.1,0.12,0.02,0.01,0.2,0.08,0.1,0,0.04
2009-10,94.35,4.71,0.68,0.1,0.13,0.02,0.01,0.23,0.14,0.09,0,0.04
2009-11,93.98,4.96,0.72,0.17,0.14,0.02,0.01,0.26,0.15,0.09,0,0.05
2009-12,94.19,4.72,0.68,0.23,0.15,0.02,0.01,0.33,0.19,0.04,0,0.1
2010-01,93.76,5.16,0.7,0.2,0.15,0.02,NULL,0.44,0.24,NULL,NULL,0.14
2010-02,93.36,5.63,0.74,0.11,0.13,0.02,NULL,0.43,0.26,NULL,NULL,0.16
2010-03,93.17,5.78,0.78,0.11,0.13,0.02,NULL,0.46,0.28,NULL,NULL,0.18
2010-04,92.96,5.92,0.79,0.15,0.14,0.02,NULL,0.53,0.31,NULL,NULL,0.19
2010-05,93.04,5.77,0.81,0.18,0.14,0.02,NULL,0.61,0.33,NULL,NULL,0.19
2010-06,93.27,5.56,0.8,0.08,0.15,0.02,NULL,0.7,0.37,NULL,NULL,0.19
2010-07,93.29,5.53,0.77,0.08,0.15,0.02,NULL,0.83,0.4,NULL,NULL,0.19
2010-08,93.11,5.66,0.79,0.08,0.15,0.02,NULL,0.9,0.03,NULL,NULL,0.21
2010-09,92.88,5.9,0.78,0.08,0.14,0.02,NULL,1,0.02,NULL,NULL,0.25
2010-10,92.72,6.05,0.77,0.07,0.14,0.02,NULL,1.12,0.03,NULL,NULL,0.27
2010-11,92.51,6.22,0.78,0.07,0.13,0.02,NULL,1.24,0.05,NULL,NULL,0.28
2010-12,92.42,6.25,0.75,0.08,0.15,0.02,NULL,1.41,0.09,NULL,NULL,0.29
2011-01,92.02,6.56,0.74,0.07,0.15,0.02,NULL,1.71,0.12,NULL,NULL,0.33
2011-02,91.98,6.59,0.76,0.07,0.14,0.02,NULL,1.81,0.15,NULL,NULL,0.34
2011-03,92.01,6.53,0.76,0.07,0.13,0.02,NULL,1.89,0.08,NULL,NULL,0.34
2011-04,91.98,6.47,0.76,0.07,0.14,0.02,NULL,2.12,0.1,NULL,NULL,0.35
2011-05,91.95,6.35,0.81,0.08,0.15,0.02,NULL,2.24,0.15,NULL,NULL,0.38
2011-06,91.94,6.27,0.79,0.08,0.14,0.02,NULL,2.4,0.25,NULL,NULL,0.29
2011-07,91.87,6.23,0.76,0.07,0.15,0.02,NULL,2.64,0.35,NULL,NULL,0.26
2011-08,91.75,6.28,0.78,0.04,0.15,0.02,NULL,0,0.46,NULL,NULL,0.3
2011-09,91.11,6.78,0.8,0.06,0.15,0.02,NULL,0,0.54,NULL,NULL,0.41
2011-10,90.47,7.18,0.84,0.07,0.15,0.01,NULL,0,0.71,NULL,NULL,0.46
2011-11,90.5,7.05,0.84,0.04,0.14,0.02,NULL,0,0.9,NULL,NULL,0.47
2011-12,90.29,7.01,0.83,0.07,0.15,0.02,NULL,0,1.3,NULL,NULL,0.51
2012-01,89.62,7.33,0.82,0.07,0.14,NULL,NULL,NULL,1.45,NULL,NULL,0.51
