"Date","Windows","OS X","Linux","Unknown","Playstation","Nintendo","Other"
2009-01,95.42,3.68,0.64,0.17,0.08,0.01,0.01
2009-02,95.39,3.76,0.62,0.14,0.07,0.01,0.01
2009-03,95.22,3.87,0.65,0.16,0.08,0.01,0.01
2009-04,95.13,3.92,0.66,0.17,0.1,0.01,0.01
2009-05,95.25,3.75,0.65,0.24,0.09,0.01,0.01
2009-06,94.76,4.07,0.74,0.28,0.11,0.01,0.01
2009-07,94.83,4.12,0.76,0.13,0.14,0.02,0.01
2009-08,94.69,4.35,0.69,0.1,0.15,0.01,0.01
2009-09,94.61,4.44,0.7,0.1,0.12,0.02,0.01
2009-10,94.35,4.71,0.68,0.1,0.13,0.02,0.01
2009-11,93.98,4.96,0.72,0.17,0.14,0.02,0.01
2009-12,94.19,4.72,0.68,0.23,0.15,0.02,0.01
