"Date","Windows","OS X","Linux","Playstation","iOS","Unknown","Nintendo","Other"
2010-01,93.76,5.16,0.7,0.15,0,0.2,0.02,0.01
2010-02,93.36,5.63,0.74,0.13,0,0.11,0.02,0.01
2010-03,93.17,5.78,0.78,0.13,0,0.11,0.02,0.01
2010-04,92.96,5.92,0.79,0.14,0,0.15,0.02,0.01
2010-05,93.04,5.77,0.81,0.14,0.03,0.18,0.02,0.01
2010-06,93.27,5.56,0.8,0.15,0.1,0.08,0.02,0.01
2010-07,93.29,5.53,0.77,0.15,0.14,0.08,0.02,0.01
2010-08,93.11,5.66,0.79,0.15,0.18,0.08,0.02,0.01
2010-09,92.88,5.9,0.78,0.14,0.2,0.08,0.02,0.01
2010-10,92.72,6.05,0.77,0.14,0.23,0.07,0.02,0.01
2010-11,92.51,6.22,0.78,0.13,0.26,0.07,0.02,0.01
2010-12,92.42,6.25,0.75,0.15,0.33,0.08,0.02,0.01
