"Date","Windows","OS X","iOS","Linux","Playstation","Android","Unknown","Nintendo","Other"
2011-01,92.02,6.56,0.44,0.74,0.15,0.01,0.07,0.02,0.01
2011-02,91.98,6.59,0.43,0.76,0.14,0.01,0.07,0.02,0
2011-03,92.01,6.53,0.46,0.76,0.13,0.02,0.07,0.02,0
2011-04,91.98,6.47,0.53,0.76,0.14,0.03,0.07,0.02,0
2011-05,91.95,6.35,0.61,0.81,0.15,0.04,0.08,0.02,0.01
2011-06,91.94,6.27,0.7,0.79,0.14,0.05,0.08,0.02,0.01
2011-07,91.87,6.23,0.83,0.76,0.15,0.07,0.07,0.02,0.01
2011-08,91.75,6.28,0.9,0.78,0.15,0.08,0.04,0.02,0.01
2011-09,91.11,6.78,1,0.8,0.15,0.08,0.06,0.02,0.01
2011-10,90.47,7.18,1.12,0.84,0.15,0.14,0.07,0.01,0.02
2011-11,90.5,7.05,1.24,0.84,0.14,0.15,0.04,0.02,0.03
2011-12,90.29,7.01,1.41,0.83,0.15,0.19,0.07,0.02,0.04
