"Date","Windows","OS X","Unknown","Linux","Chrome OS","Other"
2016-01,85.18,9.03,3.8,1.47,0.51,0.01
2016-02,84.82,9.33,3.83,1.47,0.55,0.01
2016-03,85.89,9.38,2.74,1.45,0.53,0.01
2016-04,85.3,9.52,3.06,1.55,0.55,0.01
2016-05,84.54,9.83,3.59,1.44,0.59,0.01
2016-06,84.1,9.95,4.06,1.47,0.41,0.01
2016-07,83.33,9.61,5.16,1.54,0.35,0.01
2016-08,82.45,9.81,5.81,1.52,0.41,0.01
2016-09,81.34,10.09,6.42,1.49,0.65,0.01
2016-10,80.84,10.88,6.14,1.44,0.7,0
2016-11,83.15,11.14,3.43,1.53,0.75,0.01
2016-12,84.27,11,2.42,1.57,0.74,0.01
