"Date","Windows","OS X","Linux","Unknown","Chrome OS","Android","Other"
2014-01,88.87,8.35,1.13,0.05,0.14,1.45,0.01
2014-02,89.65,8.39,1.14,0.26,0.16,0.38,0.01
2014-03,89.61,8.58,1.16,0.47,0.18,0,0
2014-04,89.18,8.85,1.34,0.44,0.19,0,0
2014-05,88.83,8.85,1.58,0.54,0.19,0,0
2014-06,89.27,8.56,1.37,0.61,0.19,0,0
2014-07,89.25,8.59,1.34,0.63,0.19,0,0
2014-08,89.15,8.65,1.38,0.61,0.21,0,0
2014-09,88.49,9.15,1.39,0.72,0.25,0,0
2014-10,88.28,9.13,1.41,0.9,0.27,0,0
2014-11,88.47,8.98,1.33,0.93,0.28,0,0
2014-12,88.74,8.67,1.39,0.91,0.29,0,0
