"Date","Windows","OS X","Unknown","Linux","Chrome OS","Other"
2024-01,73,16.11,5.33,3.77,1.78,0.01
2024-02,72.17,15.42,6.1,4.03,2.27,0.01
2024-03,72.47,14.68,6.52,4.05,2.27,0.01
2024-04,73.5,14.7,5.34,3.88,2.56,0.01
2024-05,73.91,14.9,4.87,3.77,2.54,0.01
2024-06,72.81,14.97,6.23,4.05,1.93,0.01
2024-07,72.1,14.92,7.13,4.44,1.41,0.01
2024-08,71.46,15.48,6.77,4.55,1.73,0.01
2024-09,73.35,15.45,4.47,4.48,2.25,0.01
2024-10,73.39,15.52,4.66,4.3,2.13,0.01
2024-11,72.94,15.38,5.4,4.04,2.24,0.01
2024-12,73.38,14.16,6.43,4.13,1.89,0.01
