Date,"Linux","Debian","Ubuntu","Red Hat Enterprise Linux","Windows XP","Windows 7","Windows 8","Windows 8.1","Windows Vista","Windows 10"
2015-07-01,6043,1406,497,1185,2799,3990,3172,2278,1928,14676
2015-07-02,6185,1294,551,1167,2929,4035,3072,2271,1981,13737
2015-07-03,5393,1110,449,827,2411,3535,2754,2070,1681,12776
2015-07-04,4756,913,385,373,2102,3122,2542,1904,1554,10930
2015-07-05,4415,942,381,422,2463,3600,2678,2116,1810,12144
2015-07-06,6033,1289,542,1157,2906,4004,3312,2743,2054,14039
2015-07-07,6425,1380,537,1248,2856,3989,3177,2426,1966,12702
2015-07-08,6599,1433,568,1289,2764,3995,3110,2361,2107,13447
2015-07-09,6024,1366,536,1235,2634,4011,2991,2323,1993,14072
2015-07-10,5652,1310,495,1046,2583,3662,2806,2179,1966,13918
2015-07-11,4408,984,394,460,2220,2957,2401,1967,1526,11917
2015-07-12,4491,1070,387,422,2268,3164,2509,2030,1719,12246
2015-07-13,5710,1371,524,1100,2732,3947,3004,2254,1924,14287
2015-07-14,5965,1326,460,1174,2900,4091,3270,2246,2068,15126
2015-07-15,5854,1280,532,1242,2889,3956,3002,2405,2070,16935
2015-07-16,6080,1290,509,1222,2805,3839,3162,2567,2070,19128
2015-07-17,5174,1223,442,975,2383,3364,2616,2180,1754,17892
2015-07-18,4138,996,371,415,2263,3163,2507,2140,1771,17504
2015-07-19,4295,1053,387,413,2265,3307,2847,2300,1847,17394
2015-07-20,5829,1337,513,1107,2878,4009,3331,2562,2186,20444
2015-07-21,5913,1348,511,1191,3312,4592,3519,2714,2445,20303
2015-07-22,6277,1396,545,1296,3060,4240,3361,2520,2241,19282
2015-07-23,6937,1359,508,1286,3156,4128,3416,2568,2627,17725
2015-07-24,5711,1290,472,1125,2874,3818,3427,2400,2061,17427
2015-07-25,4805,1005,423,444,3121,3534,2981,2261,2093,16598
2015-07-26,4755,995,456,414,3108,4000,3205,2533,2089,20545
2015-07-27,6133,1525,572,1197,3513,4756,4017,2934,2493,25658
2015-07-28,6392,1506,536,1276,4635,6229,4903,3893,3554,44136
2015-07-29,7471,1529,679,1257,7596,10189,8848,6935,6046,91753
2015-07-30,7642,1522,611,1208,6652,9310,7523,6106,5035,65039
2015-07-31,6319,1510,528,1046,4838,7260,5769,4713,4011,45086
2015-08-01,5053,1263,454,464,3899,5961,4604,3791,3272,36155
2015-08-02,5412,1257,455,437,4053,5675,4338,3443,3067,30282
2015-08-03,6405,1407,550,1050,3674,5613,4246,3266,3015,26581
2015-08-04,7278,1604,633,1257,4059,5910,4266,3233,3133,26323
2015-08-05,7260,1605,586,1243,3915,5929,4190,3047,3011,23357
2015-08-06,6954,1511,603,1224,3785,5660,3959,2902,2906,22616
2015-08-07,6562,1472,581,1053,3526,5342,3575,2755,2737,20494
2015-08-08,5288,1169,449,493,3163,4463,3143,2490,2504,19223
2015-08-09,5580,1157,449,501,3425,4809,3308,2487,2631,18203
2015-08-10,6165,1279,609,1050,3346,5212,3530,2357,2525,17666
2015-08-11,6990,1544,676,1260,3463,5537,3791,2546,2596,16944
2015-08-12,6886,1653,605,1291,3410,5570,3704,2469,2573,16045
2015-08-13,6703,1488,609,1227,3570,5342,3502,2495,2442,15214
2015-08-14,6347,1425,547,1132,3120,4888,3133,2194,2258,13666
2015-08-15,5054,1228,458,475,2669,4044,2723,2059,1998,13323
2015-08-16,5450,1345,481,488,2881,4286,2978,2182,2112,13237
2015-08-17,6733,1609,624,1206,3354,5073,3500,2425,2492,14443
