"Date","Windows","OS X","iOS","Linux","Android","Unknown","","Playstation","BlackBerry OS","Other"
2012-01,89.62,7.33,1.71,0.82,0.24,0.07,0,0.14,0.03,0.05
2012-02,89.5,7.41,1.81,0.83,0.26,0.08,0,0.04,0.03,0.04
2012-03,89.37,7.32,1.89,0.83,0.28,0.14,0.04,0.06,0.03,0.04
2012-04,88.75,7.66,2.12,0.85,0.31,0.05,0.08,0.12,0.03,0.04
2012-05,88.81,7.45,2.24,0.86,0.33,0.05,0.08,0.12,0.03,0.04
2012-06,88.89,7.05,2.4,0.83,0.37,0.05,0.08,0.13,0.03,0.15
2012-07,88.85,6.92,2.64,0.83,0.4,0.06,0.1,0.13,0.03,0.04
2012-08,91.54,7.41,0,0.85,0.03,0.06,0.1,0,0,0.02
2012-09,91.18,7.75,0,0.88,0.02,0.06,0.1,0,0,0.02
2012-10,91.04,7.87,0,0.9,0.03,0.06,0.09,0,0,0.01
2012-11,91.02,7.86,0,0.9,0.05,0.06,0.09,0,0,0.01
2012-12,91.22,7.69,0,0.88,0.09,0.07,0.04,0,0,0.01
