"Date","Windows","OS X","Unknown","Linux","Chrome OS","Other"
2017-01,84.4,11.2,2.07,1.55,0.77,0.01
2017-02,84.14,11.6,1.9,1.53,0.83,0.01
2017-03,84.34,11.68,1.59,1.54,0.84,0.01
2017-04,84.22,11.61,1.73,1.68,0.75,0.01
2017-05,83.92,11.76,1.83,1.66,0.82,0.01
2017-06,84.32,11.59,1.78,1.74,0.55,0.01
2017-07,84.46,11.32,1.97,1.79,0.45,0.01
2017-08,83.53,11.95,2.15,1.79,0.56,0.01
2017-09,83.28,12.15,2.06,1.66,0.84,0.01
2017-10,82.96,12.98,1.46,1.62,0.97,0.01
2017-11,82.74,13.23,1.46,1.57,0.98,0.01
2017-12,82.68,13.06,1.8,1.54,0.91,0.01
