"Date","Windows","OS X","Unknown","Chrome OS","Linux","Other"
2023-01,74.14,15.33,5.27,2.35,2.91,0.01
2023-02,71.78,16.26,6.12,2.9,2.94,0.01
2023-03,69.4,17.21,7.3,3.23,2.85,0.01
2023-04,62.65,17.79,13,3.72,2.83,0.01
2023-05,62.06,18.96,12.69,3.59,2.7,0.01
2023-06,68.23,21.32,3.24,4.13,3.07,0.01
2023-07,69.52,20.42,3.69,3.24,3.12,0.01
2023-08,69.26,20.18,4.02,3.34,3.18,0.01
2023-09,68.41,20.15,4.52,3.89,3.02,0.01
2023-10,68.87,20.34,3.75,4.1,2.92,0.01
2023-11,69.02,21.01,3.03,3.71,3.22,0.01
2023-12,72.72,16.38,4.64,2.42,3.83,0.01
