Date,"Linux","Debian","Ubuntu","Red Hat Enterprise Linux","Windows 7"
2019-07,117886,42579,50789,32430,65826
2019-08,122646,36501,53249,33081,72018
2019-09,131834,37227,55591,33372,68636
2019-10,133562,37889,64635,34269,71643
2019-11,123101,35347,58404,31899,68487
2019-12,118863,34044,52849,25895,68882
2020-01,130370,37454,66398,35002,127895
2020-02,123330,36319,60570,33144,61513
2020-03,116588,35347,61698,29971,60568
2020-04,135066,41446,78630,32928,70089
2020-05,132618,38187,67651,31278,66827
2020-06,112943,33043,58123,29813,62076
2020-07,112881,44029,54860,28640,66090
