Date,"Linux","Debian","Ubuntu","Red Hat Enterprise Linux"
2015-07,177824,39358,15301,30219
2015-08,198402,45565,17051,29745
2015-09,199377,46098,16528,30188
2015-10,192600,68639,18385,31887
2015-11,171947,44395,15979,29465
2015-12,159716,56731,14626,27971
2016-01,184796,60103,17488,32172
2016-02,176917,47852,17297,33378
2016-03,172635,49442,18417,34191
2016-04,159727,43366,22423,31582
2016-05,163162,43236,17056,32245
2016-06,158739,41151,16949,32957
2016-07,159676,41560,17169,29901
2016-08,191180,44846,16543,32235
2016-09,187001,47676,16330,32053
2016-10,176085,43096,17065,31147
2016-11,158302,39306,15508,30506
2016-12,146949,38937,13510,26429
2017-01,168734,43943,16943,31218
2017-02,150958,39792,15690,30437
2017-03,183064,42958,16461,34404
2017-04,141744,41435,16701,29457
2017-05,160635,43249,17850,31043
2017-06,137334,43605,14745,27859
2017-07,140454,38983,15127,27473
2017-08,147885,40685,14964,30045
2017-09,150876,37411,13159,29224
2017-10,159938,39938,13823,30296
2017-11,154113,37467,14006,28812
2017-12,130423,35687,12373,23175
2018-01,150027,43300,15945,30175
2018-02,133779,36417,15554,28074
2018-03,144492,38907,14542,30297
2018-04,133509,36682,16132,30311
2018-05,136252,35847,15344,29857
2018-06,143303,33695,12037,28388
2018-07,156060,36760,11680,29134
2018-08,145275,37303,12664,29995
2018-09,167682,35313,32789,28344
2018-10,157511,36328,60767,39796
2018-11,139086,35955,50878,34810
2018-12,141452,37582,49454,26762
2019-01,144176,46176,54127,30759
2019-02,132090,37929,49551,28254
2019-03,139660,37581,50756,31847
2019-04,123012,38642,51177,31629
2019-05,133338,35422,49797,38781
2019-06,121681,37207,46231,29812
2019-07,117886,42579,50789,32430
2019-08,122646,36501,53249,33081
2019-09,131834,37227,55591,33372
2019-10,133562,37889,64635,34269
2019-11,123101,35347,58404,31899
2019-12,118863,34044,52849,25895
2020-01,130370,37454,66398,35002
2020-02,123330,36319,60570,33144
2020-03,116588,35347,61698,29971
2020-04,135066,41446,78630,32928
2020-05,132618,38187,67651,31278
2020-06,112943,33043,58123,29813
2020-07,112881,44029,54860,28640
2020-08,114514,32315,55765,27316
2020-09,123037,32007,60436,28417
2020-10,334616,35095,66786,30291
2020-11,395003,33489,61878,27479
2020-12,446358,39136,63924,30743
2021-01,293984,39102,65985,28496
2021-02,120990,36343,59418,27103
2021-03,130082,39544,69700,30599
2021-04,112171,35765,64640,25871
2021-05,110197,33037,55165,25138
2021-06,108646,31599,50890,25799
2021-07,498626,37076,69038,25487
2021-08,457103,41301,63484,25519
2021-09,379319,34973,64510,26366
2021-10,363532,36830,71210,26442
2021-11,338300,36355,65916,27464
2021-12,319742,32953,60612,22388
2022-01,376642,34826,66198,25478
2022-02,343958,32378,63443,27408
2022-03,282745,34887,68523,28880
2022-04,337858,32704,69635,26440
2022-05,355482,31419,57698,32496
2022-06,328934,28920,51041,25994
2022-07,310478,30774,52055,24973
2022-08,348968,31356,59109,28081
2022-09,383883,30131,58011,27630
2022-10,397828,32788,59739,28896
2022-11,432012,31369,55776,28786
2022-12,347354,28478,48649,22696
2023-01,337782,31912,56058,28186
2023-02,331794,29372,52221,27499
2023-03,381645,32418,57857,30425
2023-04,320236,29401,52246,24732
2023-05,235670,30258,53751,26875
2023-06,208346,37557,49328,30095
2023-07,206977,36486,53611,28956
2023-08,208680,36732,53436,25582
2023-09,154806,33422,49044,25083
2023-10,120037,34454,52698,24855
2023-11,116190,32989,46159,24881
2023-12,114913,32644,48220,19815
2024-01,128013,41642,72931,28114
2024-02,107049,37666,54547,26965
2024-03,109991,36443,57138,27191
2024-04,108700,39181,66403,27317
2024-05,102191,37465,52801,28986
2024-06,90186,33642,46400,25405
2024-07,102625,34354,49302,26625
2024-08,104403,34637,49295,22641
2024-09,109427,33253,49222,22820
2024-10,104657,33851,50653,24373
2024-11,97968,31355,44152,22993
2024-12,98682,30641,44252,19540
2025-01,112848,35408,50128,23824
2025-02,105235,33142,44614,23691
2025-03,107268,34677,45989,22104
2025-04,95220,31605,43928,20944
2025-05,85119,32205,40472,24356
2025-06,77629,30428,36517,17975
2025-07,81002,31748,37887,17528
2025-08,90723,42853,41650,17284
2025-09,96321,34085,43749,18313
2025-10,97911,37679,51065,19429
